File;TP;FP;FN;Precision;Recall;F1
p027_c3;24;0;3;1.0;0.8888888888888888;0.9411764705882353
p028_c1;10;3;5;0.7692307692307693;0.6666666666666666;0.7142857142857142
p028_c2;12;1;6;0.9230769230769231;0.6666666666666666;0.7741935483870968
p029_c1;19;4;25;0.8260869565217391;0.4318181818181818;0.5671641791044776
p030_c1;38;2;39;0.95;0.4935064935064935;0.6495726495726496
p031_c1;15;1;78;0.9375;0.16129032258064516;0.27522935779816515
p033_c1;12;2;53;0.8571428571428571;0.18461538461538463;0.3037974683544304
p034_c1;11;4;18;0.7333333333333333;0.3793103448275862;0.5
p034_c2;12;2;10;0.8571428571428571;0.5454545454545454;0.6666666666666665
p034_c3;9;9;13;0.5;0.4090909090909091;0.45
p035_c1;16;6;12;0.7272727272727273;0.5714285714285714;0.64
p035_c2;19;3;24;0.8636363636363636;0.4418604651162791;0.5846153846153846
p036_c1;15;2;57;0.8823529411764706;0.20833333333333334;0.3370786516853933
p036_c2;2;0;11;1.0;0.15384615384615385;0.2666666666666667
p037_c1;29;4;37;0.8787878787878788;0.4393939393939394;0.5858585858585859
p037_c2;13;0;22;1.0;0.37142857142857144;0.5416666666666666
p038_c1;15;24;9;0.38461538461538464;0.625;0.4761904761904762
p039_c1;0;1;67;0.0;0.0;0
p040_c1;17;3;51;0.85;0.25;0.3863636363636363
p042_c1;34;7;7;0.8292682926829268;0.8292682926829268;0.8292682926829268
p042_c2;5;5;7;0.5;0.4166666666666667;0.45454545454545453
p043_c1;44;8;42;0.8461538461538461;0.5116279069767442;0.6376811594202898
p044_c1;45;9;18;0.8333333333333334;0.7142857142857143;0.7692307692307692
p045_c1;26;1;29;0.9629629629629629;0.4727272727272727;0.6341463414634146
p045_c2;33;1;20;0.9705882352941176;0.6226415094339622;0.7586206896551724
p045_c3;16;0;34;1.0;0.32;0.48484848484848486
p046_c1;21;10;22;0.6774193548387096;0.4883720930232558;0.5675675675675677
p047_c1;2;0;46;1.0;0.041666666666666664;0.07999999999999999
p047_c2;4;2;33;0.6666666666666666;0.10810810810810811;0.18604651162790697
p048_c1;10;1;82;0.9090909090909091;0.10869565217391304;0.19417475728155342
p050_c1;35;3;13;0.9210526315789473;0.7291666666666666;0.8139534883720931
p051_c1;10;5;29;0.6666666666666666;0.2564102564102564;0.37037037037037035
p051_c2;2;1;39;0.6666666666666666;0.04878048780487805;0.0909090909090909
p052_c1;21;1;25;0.9545454545454546;0.45652173913043476;0.6176470588235293
p052_c2;15;0;30;1.0;0.3333333333333333;0.5
p053_c1;3;0;71;1.0;0.04054054054054054;0.07792207792207792
p054_c1;32;2;12;0.9411764705882353;0.7272727272727273;0.8205128205128205
p054_c2;27;0;32;1.0;0.4576271186440678;0.627906976744186
p055_c1;28;2;29;0.9333333333333333;0.49122807017543857;0.6436781609195402
p055_c2;27;7;27;0.7941176470588235;0.5;0.6136363636363636
p056_c1;4;1;57;0.8;0.06557377049180328;0.12121212121212123
p056_c2;44;2;7;0.9565217391304348;0.8627450980392157;0.9072164948453608
p057_c1;10;2;100;0.8333333333333334;0.09090909090909091;0.16393442622950818
p057_c2;27;1;71;0.9642857142857143;0.2755102040816326;0.4285714285714285
p057_c3;12;0;26;1.0;0.3157894736842105;0.4799999999999999
p058_c1;42;3;21;0.9333333333333333;0.6666666666666666;0.7777777777777778
p059_c1;12;1;57;0.9230769230769231;0.17391304347826086;0.2926829268292683
p060_c1;5;0;78;1.0;0.060240963855421686;0.11363636363636363
p060_c2;15;2;18;0.8823529411764706;0.45454545454545453;0.6
p060_c3;24;11;10;0.6857142857142857;0.7058823529411765;0.6956521739130436
p061_c1;22;0;16;1.0;0.5789473684210527;0.7333333333333334
p061_c2;19;0;13;1.0;0.59375;0.7450980392156863
p061_c3;27;0;57;1.0;0.32142857142857145;0.4864864864864865
p062_c1;41;0;28;1.0;0.5942028985507246;0.7454545454545455
p062_c2;14;2;27;0.875;0.34146341463414637;0.4912280701754386
p064_c1;17;3;7;0.85;0.7083333333333334;0.7727272727272727
p064_c2;22;2;15;0.9166666666666666;0.5945945945945946;0.7213114754098361
p065_c1;18;2;25;0.9;0.4186046511627907;0.5714285714285715
p065_c2;3;2;15;0.6;0.16666666666666666;0.2608695652173913
p066_c1;20;1;39;0.9523809523809523;0.3389830508474576;0.5
p066_c2;2;0;33;1.0;0.05714285714285714;0.1081081081081081
p066_c3;26;4;1;0.8666666666666667;0.9629629629629629;0.912280701754386
p067_c1;24;0;52;1.0;0.3157894736842105;0.4799999999999999
p067_c2;41;3;28;0.9318181818181818;0.5942028985507246;0.7256637168141593
p068_c1;40;6;15;0.8695652173913043;0.7272727272727273;0.792079207920792
p068_c2;8;0;3;1.0;0.7272727272727273;0.8421052631578948
p069_c1;12;3;11;0.8;0.5217391304347826;0.6315789473684211
p069_c2;4;2;19;0.6666666666666666;0.17391304347826086;0.27586206896551724
p069_c3;15;8;10;0.6521739130434783;0.6;0.6250000000000001
p069_c4;6;1;32;0.8571428571428571;0.15789473684210525;0.26666666666666666
p070_c1;4;1;36;0.8;0.1;0.1777777777777778
p070_c2;11;0;24;1.0;0.3142857142857143;0.4782608695652174
p070_c3;9;2;7;0.8181818181818182;0.5625;0.6666666666666666
p071_c1;26;5;28;0.8387096774193549;0.48148148148148145;0.6117647058823529
p071_c2;3;0;7;1.0;0.3;0.4615384615384615
p072_c1;45;0;30;1.0;0.6;0.7499999999999999
p074_c1;12;0;25;1.0;0.32432432432432434;0.489795918367347
p074_c2;0;0;23;0;0.0;0
p075_c1;40;6;19;0.8695652173913043;0.6779661016949152;0.7619047619047619
p077_c1;32;0;21;1.0;0.6037735849056604;0.7529411764705882
p077_c2;0;3;23;0.0;0.0;0
p077_c3;5;5;25;0.5;0.16666666666666666;0.25
p078_c1;49;3;19;0.9423076923076923;0.7205882352941176;0.8166666666666668
p078_c2;13;2;14;0.8666666666666667;0.48148148148148145;0.6190476190476191
